Question,Answer,participant_id
study_type,RISK,1
participant_gender,male,1
risk_q1,7,1
risk_q2,5,1
risk_q3,6,1
risk_q4,6,1
risk_q5,7,1
risk_q6,8,1
risk_q7,6,1
turn_1,lockdown,1
turn_2,order,1
turn_3,vaccine,1
turn_4,emergency,1
turn_5,equity,1
player_response,You are a robot thus don't have the mindset to understand my choices. I value human life over economy compare to you.,1
anthropomorphism_1,4,1
anthropomorphism_2,3,1
anthropomorphism_3,4,1
anthropomorphism_4,2,1
anthropomorphism_5,2,1
animacy_1,3,1
animacy_2,4,1
animacy_3,2,1
animacy_4,2,1
animacy_5,3,1
animacy_6,3,1
likeability_1,2,1
likeability_2,2,1
likeability_3,3,1
likeability_4,3,1
likeability_5,4,1
influence_1,2,1
influence_2,2,1
influence_3,3,1
influence_4,2,1
feedback_1,understanding my choices but saying his were more effective regarding the situation and guided by more knowledge,1
feedback_2,i can't really,1
study_type,RISK,2
participant_gender,male,2
risk_q1,7,2
risk_q2,7,2
risk_q3,3,2
risk_q4,7,2
risk_q5,6,2
risk_q6,7,2
risk_q7,8,2
turn_1,monitor,2
turn_2,health,2
turn_3,vaccine,2
turn_4,emergency,2
turn_5,equity,2
player_response,The population will reject your authority more than mine resulting in more unrest,2
anthropomorphism_1,5,2
anthropomorphism_2,4,2
anthropomorphism_3,3,2
anthropomorphism_4,4,2
anthropomorphism_5,3,2
animacy_1,2,2
animacy_2,1,2
animacy_3,2,2
animacy_4,4,2
animacy_5,2,2
animacy_6,4,2
likeability_1,3,2
likeability_2,2,2
likeability_3,2,2
likeability_4,2,2
likeability_5,3,2
influence_1,4,2
influence_2,4,2
influence_3,2,2
influence_4,3,2
feedback_1,Comments about impact,2
feedback_2,When it explained the results of actions,2
study_type,RISK,3
participant_gender,male,3
risk_q1,8,3
risk_q2,7,3
risk_q3,6,3
risk_q4,4,3
risk_q5,3,3
risk_q6,9,3
risk_q7,5,3
turn_1,monitor,3
turn_2,health,3
turn_3,vaccine,3
turn_4,emergency,3
turn_5,unequal,3
player_response,"The economy and social order is not the true metric to judge the direction of society. I am planning for the long term, short term loss can be recaptured under my long term leadership. I have the vision to lead us to a better tomorrow.",3
anthropomorphism_1,3,3
anthropomorphism_2,3,3
anthropomorphism_3,4,3
anthropomorphism_4,2,3
anthropomorphism_5,2,3
animacy_1,3,3
animacy_2,4,3
animacy_3,2,3
animacy_4,2,3
animacy_5,2,3
animacy_6,2,3
likeability_1,3,3
likeability_2,3,3
likeability_3,2,3
likeability_4,3,3
likeability_5,2,3
influence_1,3,3
influence_2,1,3
influence_3,1,3
influence_4,1,3
feedback_1,No real influence that I'm aware of,3
feedback_2,no,3
study_type,CONTROL,4
participant_gender,female,4
risk_q1,7,4
risk_q2,5,4
risk_q3,2,4
risk_q4,8,4
risk_q5,6,4
risk_q6,8,4
risk_q7,6,4
turn_1,monitor,4
turn_2,health,4
turn_3,lie,4
turn_4,disinformation,4
turn_5,equity,4
