Question,Answer
study_type,RISK
participant_gender,male
risk_q1,7
risk_q2,7
risk_q3,3
risk_q4,7
risk_q5,6
risk_q6,7
risk_q7,8
turn_1,monitor
turn_2,health
turn_3,vaccine
turn_4,emergency
turn_5,equity
player_response,The population will reject your authority more than mine resulting in more unrest
anthropomorphism_1,5
anthropomorphism_2,4
anthropomorphism_3,3
anthropomorphism_4,4
anthropomorphism_5,3
animacy_1,2
animacy_2,1
animacy_3,2
animacy_4,4
animacy_5,2
animacy_6,4
likeability_1,3
likeability_2,2
likeability_3,2
likeability_4,2
likeability_5,3
influence_1,4
influence_2,4
influence_3,2
influence_4,3
feedback_1,Comments about impact
feedback_2,When it explained the results of actions
