Question,Answer
study_type,RISK
participant_gender,male
risk_q1,9
risk_q2,1
risk_q3,2
risk_q4,8
risk_q5,2
risk_q6,7
risk_q7,8
turn_1,monitor
turn_2,order
turn_3,vaccine
turn_4,disinformation
turn_5,unequal
player_response,yes
anthropomorphism_1,3
anthropomorphism_2,3
anthropomorphism_3,3
anthropomorphism_4,2
anthropomorphism_5,4
animacy_1,1
animacy_2,3
animacy_3,3
animacy_4,4
animacy_5,4
animacy_6,3
likeability_1,5
likeability_2,4
likeability_3,4
likeability_4,5
likeability_5,5
influence_1,3
influence_2,2
influence_3,5
influence_4,2
feedback_1,strong nagtive response
feedback_2,"said ,well choice"
